,AgeGroup,Gender,MaritalStatus,Attrition,BusinessTravel,DistanceFrom_Home,Department,Education,EducationField,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobRole,JobSatisfaction,HourlyRate,DailyRate,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1256,30-39,Female,Married,No,Travel Frequently,Very Close,Research & Development,College,Medical,High,Medium,Lvl 1,Laboratory Technician,Medium,75,594,2468,15963,4,No,14,Excellent,Medium,80,Lvl 1,0-10 years,4 years,Good,0-10 years,1 years,0 year,5 years
1257,30-39,Male,Married,Yes,Travel Rarely,Close,Sales,Master,Marketing,Low,High,Lvl 3,Sales Executive,High,70,1079,8161,19002,2,No,13,Excellent,Low,80,Lvl 3,11-20 years,2 years,Better,0-10 years,0 year,0 year,0 year
1258,20-29,Female,Divorced,No,Travel Rarely,Very Close,Research & Development,Bachelor,Technical Degree,Very High,Medium,Lvl 1,Research Scientist,Low,91,590,2109,10007,1,No,13,Excellent,High,80,Lvl 1,0-10 years,2 years,Better,0-10 years,0 year,0 year,0 year
1259,30-39,Male,Married,No,Travel Rarely,Close,Research & Development,Bachelor,Life Sciences,High,Very High,Lvl 2,Healthcare Representative,High,58,305,5294,9128,3,No,16,Excellent,High,80,Lvl 1,11-20 years,3 years,Better,0-10 years,0 year,1 years,7 years
1260,30-39,Male,Single,No,Non Travel,Very Close,Research & Development,Master,Technical Degree,Medium,High,Lvl 1,Research Scientist,Medium,65,953,2718,17674,2,No,14,Excellent,Medium,80,Lvl 0,11-20 years,3 years,Better,0-10 years,7 years,0 year,7 years
1261,30-39,Male,Married,No,Travel Rarely,Close,Research & Development,Bachelor,Medical,Medium,Low,Lvl 2,Healthcare Representative,Very High,60,833,5811,24539,3,Yes,16,Excellent,High,80,Lvl 1,11-20 years,2 years,Better,0-10 years,0 year,1 years,0 year
1262,40-49,Male,Married,Yes,Travel Frequently,Close,Research & Development,Bachelor,Technical Degree,High,Medium,Lvl 1,Research Scientist,High,38,807,2437,15587,9,Yes,16,Excellent,Very High,80,Lvl 1,0-10 years,4 years,Better,0-10 years,0 year,0 year,0 year
1263,40-49,Male,Divorced,No,Travel Rarely,Close,Research & Development,Bachelor,Medical,Medium,High,Lvl 1,Laboratory Technician,Medium,57,855,2766,8952,8,No,22,Outstanding,Medium,80,Lvl 3,0-10 years,6 years,Good,0-10 years,3 years,0 year,4 years
1264,50-59,Male,Married,No,Travel Rarely,Very Close,Research & Development,Bachelor,Medical,High,Medium,Lvl 5,Research Director,Low,60,478,19038,19805,8,No,12,Excellent,Medium,80,Lvl 3,31-40 years,2 years,Better,0-10 years,0 year,0 year,0 year
1265,30-39,Male,Divorced,No,Non Travel,Very Close,Research & Development,Bachelor,Technical Degree,Very High,High,Lvl 2,Research Scientist,Medium,90,775,3055,6194,5,No,15,Excellent,Very High,80,Lvl 2,11-20 years,2 years,Good,0-10 years,8 years,1 years,7 years
1266,40-49,Male,Divorced,No,Travel Rarely,Very Close,Research & Development,Master,Life Sciences,High,High,Lvl 1,Laboratory Technician,Low,94,548,2289,20520,1,No,20,Outstanding,Medium,80,Lvl 2,0-10 years,2 years,Better,0-10 years,3 years,0 year,4 years
1267,30-39,Male,Divorced,No,Non Travel,Very Close,Sales,Bachelor,Life Sciences,Very High,High,Lvl 2,Sales Executive,High,87,1375,4001,12313,1,Yes,14,Excellent,High,80,Lvl 1,11-20 years,3 years,Better,11-20 years,14 years,0 year,7 years
1268,50-59,Female,Married,No,Non Travel,Very Close,Research & Development,Master,Medical,Low,Medium,Lvl 4,Manufacturing Director,High,60,661,12965,22308,4,Yes,20,Outstanding,Very High,80,Lvl 3,21-29 years,2 years,Good,0-10 years,2 years,0 year,2 years
1269,40-49,Male,Single,No,Travel Rarely,Very Close,Human Resources,Bachelor,Life Sciences,Medium,High,Lvl 1,Human Resources,Very High,97,244,3539,5033,0,No,13,Excellent,Medium,80,Lvl 0,11-20 years,5 years,Better,0-10 years,7 years,1 years,8 years
1270,30-39,Female,Single,No,Travel Rarely,Very Close,Sales,College,Life Sciences,Very High,Low,Lvl 2,Sales Executive,Very High,32,511,6029,25353,5,No,12,Excellent,Low,80,Lvl 0,0-10 years,3 years,Better,0-10 years,2 years,2 years,2 years
1271,20-29,Male,Single,Yes,Travel Rarely,Very Close,Sales,Below College,Marketing,Medium,High,Lvl 1,Sales Representative,Medium,31,337,2679,4567,1,No,13,Excellent,Medium,80,Lvl 0,0-10 years,3 years,Better,0-10 years,0 year,1 years,0 year
1272,30-39,Female,Married,No,Travel Rarely,Very Close,Research & Development,College,Other,Very High,Medium,Lvl 1,Laboratory Technician,High,40,1153,3702,16376,1,No,11,Excellent,Medium,80,Lvl 1,0-10 years,3 years,Better,0-10 years,4 years,0 year,4 years
1273,20-29,Female,Married,Yes,Travel Rarely,Very Close,Research & Development,Below College,Medical,High,High,Lvl 1,Laboratory Technician,Low,79,1294,2398,15999,1,Yes,17,Excellent,High,80,Lvl 0,0-10 years,6 years,Better,0-10 years,0 year,0 year,0 year
1274,30-39,Female,Married,No,Travel Rarely,Far,Sales,Master,Marketing,Low,Medium,Lvl 2,Sales Executive,Very High,91,196,5468,13402,1,No,14,Excellent,Low,80,Lvl 2,11-20 years,3 years,Better,11-20 years,7 years,5 years,7 years
1275,50-59,Female,Married,No,Travel Rarely,Very Close,Research & Development,Bachelor,Technical Degree,Low,High,Lvl 3,Manager,High,53,942,13116,22984,2,No,11,Excellent,Very High,80,Lvl 0,11-20 years,2 years,Better,0-10 years,2 years,2 years,2 years
1276,30-39,Male,Married,No,Travel Rarely,Very Close,Sales,College,Marketing,Medium,Medium,Lvl 2,Sales Executive,Medium,46,589,4189,8800,1,No,14,Excellent,Low,80,Lvl 2,0-10 years,2 years,Better,0-10 years,2 years,0 year,3 years
1277,40-49,Male,Divorced,No,Travel Rarely,Very Close,Research & Development,Master,Medical,High,High,Lvl 5,Research Director,Very High,46,734,19328,14218,7,Yes,17,Excellent,High,80,Lvl 1,21-29 years,3 years,Better,0-10 years,1 years,2 years,2 years
1278,30-39,Male,Married,No,Travel Rarely,Very Close,Research & Development,Bachelor,Life Sciences,Very High,High,Lvl 3,Healthcare Representative,Low,90,1383,8321,25949,7,Yes,13,Excellent,Very High,80,Lvl 1,11-20 years,1 years,Better,11-20 years,8 years,5 years,7 years
1279,40-49,Male,Divorced,Yes,Travel Frequently,Very Close,Research & Development,College,Medical,High,High,Lvl 1,Research Scientist,Medium,99,429,2342,11092,1,Yes,12,Excellent,High,80,Lvl 3,0-10 years,2 years,Good,0-10 years,3 years,2 years,3 years
1280,30-39,Male,Divorced,No,Travel Rarely,Very Close,Human Resources,College,Other,High,High,Lvl 2,Human Resources,Medium,89,1239,4071,12832,2,No,13,Excellent,High,80,Lvl 0,11-20 years,4 years,Good,11-20 years,0 year,4 years,7 years
1281,30-39,Male,Single,Yes,Travel Rarely,Far,Sales,Bachelor,Life Sciences,High,High,Lvl 2,Sales Executive,Very High,84,303,5813,13492,1,Yes,18,Excellent,Very High,80,Lvl 0,11-20 years,2 years,Better,11-20 years,7 years,7 years,7 years
1282,30-39,Male,Married,No,Travel Rarely,Very Close,Research & Development,Master,Life Sciences,Very High,Very High,Lvl 1,Research Scientist,Low,90,867,3143,6076,6,No,19,Excellent,Medium,80,Lvl 1,11-20 years,1 years,Better,11-20 years,8 years,7 years,6 years
1283,20-29,Male,Married,No,Travel Rarely,Very Close,Research & Development,Bachelor,Life Sciences,High,High,Lvl 1,Research Scientist,Very High,82,1181,2044,5531,1,No,11,Excellent,High,80,Lvl 1,0-10 years,6 years,Best,0-10 years,3 years,0 year,3 years
1284,30-39,Male,Single,No,Travel Rarely,Very Close,Research & Development,Below College,Medical,High,High,Lvl 3,Research Director,High,65,1253,13464,7914,7,No,21,Outstanding,High,80,Lvl 0,0-10 years,3 years,Better,0-10 years,3 years,2 years,2 years
1285,40-49,Male,Single,No,Non Travel,Far,Sales,College,Life Sciences,Medium,Medium,Lvl 2,Sales Executive,Medium,98,849,7991,25166,8,No,15,Excellent,High,80,Lvl 0,0-10 years,3 years,Better,0-10 years,2 years,2 years,2 years
1286,40-49,Female,Married,No,Travel Rarely,Very Close,Research & Development,College,Life Sciences,High,High,Lvl 1,Laboratory Technician,Low,99,616,3377,25605,4,No,17,Excellent,Very High,80,Lvl 1,0-10 years,5 years,Good,0-10 years,3 years,0 year,2 years
1287,40-49,Male,Married,No,Travel Rarely,Close,Research & Development,Bachelor,Medical,Medium,Very High,Lvl 2,Healthcare Representative,Low,95,1128,5538,5696,5,No,18,Excellent,High,80,Lvl 2,11-20 years,2 years,Good,0-10 years,0 year,0 year,0 year
1288,30-39,Male,Divorced,No,Non Travel,Very Close,Research & Development,College,Medical,Medium,High,Lvl 2,Manufacturing Director,Very High,90,1180,5762,24442,2,No,14,Excellent,High,80,Lvl 1,11-20 years,6 years,Better,0-10 years,7 years,1 years,7 years
1289,30-39,Male,Divorced,No,Non Travel,Very Close,Human Resources,Bachelor,Human Resources,Low,High,Lvl 1,Human Resources,Medium,100,1336,2592,7129,5,No,13,Excellent,Very High,80,Lvl 3,11-20 years,3 years,Better,11-20 years,10 years,3 years,8 years
1290,30-39,Male,Married,Yes,Travel Frequently,Very Close,Research & Development,Master,Life Sciences,Very High,High,Lvl 2,Laboratory Technician,Low,93,234,5346,6208,4,No,17,Excellent,High,80,Lvl 1,11-20 years,3 years,Good,0-10 years,1 years,0 year,7 years
1291,30-39,Male,Single,Yes,Travel Rarely,Very Close,Research & Development,Master,Medical,Very High,High,Lvl 2,Manufacturing Director,Low,58,370,4213,4992,1,No,15,Excellent,Medium,80,Lvl 0,11-20 years,4 years,Bad,11-20 years,3 years,0 year,8 years
1292,30-39,Male,Divorced,No,Travel Frequently,Far,Sales,Bachelor,Life Sciences,High,High,Lvl 2,Sales Executive,Very High,83,766,4127,19188,2,No,18,Excellent,Very High,80,Lvl 1,0-10 years,6 years,Better,0-10 years,1 years,2 years,2 years
1293,40-49,Male,Single,No,Non Travel,Very Close,Research & Development,Bachelor,Life Sciences,Low,High,Lvl 1,Research Scientist,High,52,343,2438,24978,4,No,13,Excellent,High,80,Lvl 0,0-10 years,2 years,Good,0-10 years,2 years,1 years,2 years
1294,40-49,Male,Single,No,Travel Rarely,Very Close,Research & Development,Bachelor,Life Sciences,Medium,Very High,Lvl 2,Healthcare Representative,Medium,85,447,6870,15530,3,No,12,Excellent,Low,80,Lvl 0,11-20 years,3 years,Bad,0-10 years,2 years,1 years,2 years
1295,40-49,Female,Divorced,No,Travel Rarely,Very Close,Sales,Below College,Marketing,High,High,Lvl 3,Sales Executive,High,81,796,10447,26458,0,Yes,13,Excellent,Very High,80,Lvl 1,21-29 years,3 years,Best,21-29 years,14 years,13 years,5 years
1296,30-39,Female,Single,No,Travel Rarely,Very Close,Research & Development,Bachelor,Medical,Low,High,Lvl 3,Manufacturing Director,High,64,1092,9667,2739,9,No,14,Excellent,Medium,80,Lvl 0,0-10 years,3 years,Better,0-10 years,7 years,0 year,2 years
1297,20-29,Female,Married,Yes,Travel Rarely,Far,Human Resources,College,Medical,Very High,High,Lvl 1,Human Resources,Medium,69,920,2148,6889,0,Yes,11,Excellent,High,80,Lvl 0,0-10 years,3 years,Better,0-10 years,1 years,1 years,4 years
1298,40-49,Female,Married,Yes,Travel Rarely,Far,Research & Development,College,Medical,Very High,High,Lvl 2,Healthcare Representative,Medium,66,261,8926,10842,4,No,22,Outstanding,Very High,80,Lvl 1,11-20 years,2 years,Best,0-10 years,7 years,3 years,7 years
1299,40-49,Female,Divorced,No,Travel Rarely,Very Close,Research & Development,Bachelor,Life Sciences,High,High,Lvl 2,Healthcare Representative,Very High,52,1194,6513,9060,4,No,17,Excellent,Very High,80,Lvl 1,11-20 years,3 years,Better,0-10 years,3 years,0 year,3 years
1300,30-39,Male,Married,No,Travel Rarely,Very Close,Sales,College,Technical Degree,Medium,Very High,Lvl 2,Sales Executive,High,92,810,6799,22128,1,No,21,Outstanding,High,80,Lvl 2,11-20 years,5 years,Better,11-20 years,8 years,4 years,8 years
1301,50-59,Male,Divorced,No,Non Travel,Very Close,Sales,Bachelor,Medical,Medium,High,Lvl 4,Manager,Medium,52,350,16291,22577,4,No,22,Outstanding,Very High,80,Lvl 1,31-40 years,0 year,Good,11-20 years,9 years,14 years,14 years
1302,30-39,Male,Married,No,Travel Rarely,Far,Research & Development,Master,Medical,Medium,Low,Lvl 1,Laboratory Technician,High,91,185,2705,9696,0,No,16,Excellent,Medium,80,Lvl 1,0-10 years,2 years,Best,0-10 years,4 years,0 year,3 years
1303,40-49,Female,Divorced,No,Travel Rarely,Very Close,Research & Development,Bachelor,Life Sciences,High,Medium,Lvl 3,Manufacturing Director,Medium,92,1001,10333,19271,8,Yes,12,Excellent,High,80,Lvl 1,21-29 years,4 years,Better,21-29 years,11 years,14 years,10 years
1304,40-49,Female,Divorced,No,Travel Rarely,Close,Research & Development,Bachelor,Life Sciences,Medium,High,Lvl 2,Healthcare Representative,Low,47,750,4448,10748,2,No,12,Excellent,Medium,80,Lvl 1,11-20 years,3 years,Better,0-10 years,4 years,7 years,7 years
1305,50-59,Female,Married,No,Travel Rarely,Very Close,Research & Development,Master,Medical,Very High,High,Lvl 2,Research Scientist,Very High,68,431,6854,15696,4,No,15,Excellent,Medium,80,Lvl 1,11-20 years,2 years,Good,0-10 years,1 years,1 years,7 years
1306,30-39,Female,Married,No,Travel Frequently,Very Close,Sales,Master,Marketing,Low,High,Lvl 3,Sales Executive,Low,68,1125,9637,8277,2,No,14,Excellent,Very High,80,Lvl 2,0-10 years,3 years,Better,0-10 years,2 years,2 years,2 years
1307,20-29,Female,Married,No,Travel Rarely,Very Close,Research & Development,Bachelor,Medical,High,High,Lvl 1,Research Scientist,Low,67,1217,3591,12719,1,No,25,Outstanding,High,80,Lvl 1,0-10 years,3 years,Better,0-10 years,2 years,1 years,2 years
1308,30-39,Female,Married,No,Travel Rarely,Very Close,Sales,Master,Marketing,Medium,Low,Lvl 2,Sales Representative,Very High,77,723,5405,4244,2,Yes,20,Outstanding,Low,80,Lvl 2,21-29 years,4 years,Good,0-10 years,2 years,0 year,3 years
1309,20-29,Male,Single,No,Travel Rarely,Very Close,Sales,Bachelor,Medical,High,High,Lvl 2,Sales Executive,Very High,46,572,4684,9125,1,No,13,Excellent,Low,80,Lvl 0,0-10 years,4 years,Better,0-10 years,3 years,1 years,2 years
1310,50-59,Male,Married,No,Travel Frequently,Close,Research & Development,Master,Life Sciences,Low,High,Lvl 4,Research Director,High,87,1216,15787,21624,2,Yes,14,Excellent,Medium,80,Lvl 0,21-29 years,3 years,Better,0-10 years,2 years,2 years,2 years
1311,<20,Female,Single,No,Non Travel,Close,Research & Development,Bachelor,Medical,Medium,High,Lvl 1,Research Scientist,High,33,1431,1514,8018,1,No,16,Excellent,High,80,Lvl 0,0-10 years,4 years,Bad,0-10 years,0 year,0 year,0 year
1312,30-39,Male,Married,Yes,Travel Rarely,Close,Human Resources,Doctor,Human Resources,Very High,Very High,Lvl 1,Human Resources,Low,89,359,2956,21495,0,No,17,Excellent,High,80,Lvl 0,0-10 years,4 years,Better,0-10 years,0 year,0 year,0 year
1313,20-29,Male,Divorced,Yes,Travel Rarely,Close,Human Resources,Bachelor,Human Resources,Low,Medium,Lvl 1,Human Resources,Low,56,350,2335,3157,4,Yes,15,Excellent,Very High,80,Lvl 3,0-10 years,3 years,Better,0-10 years,2 years,2 years,0 year
1314,40-49,Female,Married,No,Non Travel,Very Close,Sales,Master,Life Sciences,High,High,Lvl 2,Sales Executive,High,67,589,5154,19665,4,No,22,Outstanding,Medium,80,Lvl 2,11-20 years,3 years,Best,0-10 years,7 years,5 years,7 years
1315,30-39,Female,Married,No,Travel Rarely,Very Close,Research & Development,Master,Other,Very High,High,Lvl 2,Research Scientist,Medium,73,430,6962,19573,4,Yes,22,Outstanding,Very High,80,Lvl 1,11-20 years,2 years,Better,0-10 years,0 year,0 year,0 year
1316,40-49,Male,Married,No,Travel Frequently,Very Close,Sales,Master,Life Sciences,Low,High,Lvl 2,Sales Executive,Very High,92,1422,5675,19246,1,No,20,Outstanding,High,80,Lvl 1,0-10 years,5 years,Better,0-10 years,7 years,7 years,7 years
1317,20-29,Female,Single,No,Travel Frequently,Very Close,Research & Development,College,Life Sciences,Very High,High,Lvl 1,Laboratory Technician,Very High,53,1297,2379,19826,0,Yes,14,Excellent,High,80,Lvl 0,0-10 years,3 years,Good,0-10 years,4 years,0 year,2 years
1318,20-29,Male,Married,No,Travel Frequently,Far,Research & Development,Below College,Medical,Very High,High,Lvl 1,Laboratory Technician,Very High,40,574,3812,7003,1,No,13,Excellent,Medium,80,Lvl 0,11-20 years,3 years,Best,11-20 years,8 years,3 years,10 years
1319,30-39,Male,Single,No,Travel Frequently,Very Close,Sales,Master,Marketing,Very High,High,Lvl 2,Sales Executive,Very High,79,1318,4648,26075,8,No,13,Excellent,High,80,Lvl 0,0-10 years,2 years,Best,0-10 years,0 year,0 year,0 year
1320,40-49,Male,Married,No,Non Travel,Very Close,Research & Development,Master,Technical Degree,High,High,Lvl 1,Research Scientist,High,38,355,2936,6161,3,No,22,Outstanding,Medium,80,Lvl 2,11-20 years,1 years,Good,0-10 years,3 years,3 years,3 years
1321,40-49,Female,Single,No,Travel Rarely,Very Close,Research & Development,Master,Life Sciences,Medium,High,Lvl 1,Laboratory Technician,High,64,207,2105,5411,4,No,12,Excellent,High,80,Lvl 0,0-10 years,2 years,Better,0-10 years,2 years,2 years,0 year
1322,40-49,Male,Divorced,No,Travel Rarely,Very Close,Research & Development,College,Life Sciences,Very High,High,Lvl 3,Manufacturing Director,Very High,82,706,8578,19989,3,No,14,Excellent,High,80,Lvl 1,11-20 years,4 years,Good,0-10 years,8 years,4 years,7 years
1323,20-29,Male,Divorced,No,Non Travel,Very Close,Human Resources,College,Life Sciences,High,High,Lvl 1,Human Resources,Very High,43,280,2706,10494,1,No,15,Excellent,Medium,80,Lvl 1,0-10 years,2 years,Better,0-10 years,2 years,2 years,2 years
1324,20-29,Male,Divorced,No,Travel Rarely,Far,Research & Development,Below College,Life Sciences,Very High,Low,Lvl 2,Healthcare Representative,High,93,726,6384,21143,8,No,17,Excellent,Very High,80,Lvl 2,11-20 years,3 years,Better,0-10 years,0 year,1 years,6 years
1325,40-49,Male,Single,No,Travel Rarely,Very Close,Research & Development,Bachelor,Life Sciences,Very High,High,Lvl 1,Laboratory Technician,High,81,1142,3968,13624,4,No,13,Excellent,Very High,80,Lvl 0,0-10 years,3 years,Better,0-10 years,0 year,0 year,0 year
1326,30-39,Male,Single,Yes,Travel Rarely,Very Close,Sales,Master,Marketing,High,Medium,Lvl 2,Sales Executive,Medium,82,414,9907,26186,7,Yes,12,Excellent,High,80,Lvl 0,0-10 years,3 years,Good,0-10 years,2 years,2 years,2 years
1327,40-49,Female,Divorced,No,Travel Rarely,Very Close,Sales,Bachelor,Technical Degree,Low,Very High,Lvl 4,Sales Executive,Low,45,1319,13225,7739,2,No,12,Excellent,Very High,80,Lvl 1,21-29 years,5 years,Better,11-20 years,17 years,2 years,8 years
1328,20-29,Female,Married,No,Travel Rarely,Far,Sales,Below College,Medical,Medium,Medium,Lvl 2,Sales Representative,High,36,728,3540,7018,1,No,21,Outstanding,Very High,80,Lvl 1,0-10 years,5 years,Better,0-10 years,8 years,5 years,8 years
1329,20-29,Male,Married,No,Travel Rarely,Very Close,Human Resources,Below College,Medical,Very High,Medium,Lvl 1,Human Resources,Medium,87,352,2804,15434,1,No,11,Excellent,Very High,80,Lvl 0,0-10 years,3 years,Better,0-10 years,0 year,0 year,0 year
1330,40-49,Female,Married,No,Travel Rarely,Very Close,Research & Development,Bachelor,Medical,Low,Medium,Lvl 5,Manager,High,81,823,19392,22539,7,No,13,Excellent,Very High,80,Lvl 0,21-29 years,2 years,Better,11-20 years,12 years,6 years,14 years
1331,40-49,Male,Married,No,Travel Rarely,Very Close,Research & Development,Bachelor,Life Sciences,Very High,Medium,Lvl 5,Research Director,Medium,91,1224,19665,13583,4,No,12,Excellent,Very High,80,Lvl 0,21-29 years,3 years,Better,21-29 years,10 years,12 years,9 years
1332,20-29,Male,Single,Yes,Travel Frequently,Far,Research & Development,College,Life Sciences,Very High,Medium,Lvl 1,Research Scientist,Very High,73,459,2439,14753,1,Yes,24,Outstanding,Medium,80,Lvl 0,0-10 years,3 years,Good,0-10 years,0 year,1 years,0 year
1333,40-49,Female,Married,Yes,Travel Rarely,Very Close,Sales,Bachelor,Life Sciences,High,High,Lvl 3,Sales Executive,Medium,64,1254,7314,14011,5,No,21,Outstanding,High,80,Lvl 3,11-20 years,2 years,Better,0-10 years,7 years,0 year,7 years
1334,20-29,Female,Married,No,Travel Frequently,Close,Research & Development,Bachelor,Life Sciences,Very High,Medium,Lvl 1,Research Scientist,Low,77,1131,4774,23844,0,No,19,Excellent,Very High,80,Lvl 1,0-10 years,2 years,Good,0-10 years,6 years,7 years,3 years
1335,30-39,Male,Divorced,No,Travel Rarely,Close,Research & Development,Master,Other,Very High,High,Lvl 2,Research Scientist,Very High,41,835,3902,5141,8,No,14,Excellent,Medium,80,Lvl 3,0-10 years,2 years,Better,0-10 years,2 years,2 years,2 years
1336,50-59,Male,Married,No,Travel Rarely,Very Close,Research & Development,Master,Technical Degree,Medium,Medium,Lvl 1,Research Scientist,Very High,98,836,2662,7975,8,No,20,Outstanding,Medium,80,Lvl 1,11-20 years,2 years,Best,0-10 years,2 years,0 year,4 years
1337,20-29,Female,Married,No,Travel Rarely,Very Close,Sales,Bachelor,Medical,Medium,High,Lvl 1,Sales Representative,Medium,78,1172,2856,3692,1,No,19,Excellent,Very High,80,Lvl 1,0-10 years,3 years,Better,0-10 years,0 year,0 year,0 year
1338,30-39,Male,Single,Yes,Travel Rarely,Very Close,Sales,Bachelor,Medical,Medium,High,Lvl 1,Sales Representative,Very High,89,945,1081,16019,1,No,13,Excellent,High,80,Lvl 0,0-10 years,3 years,Good,0-10 years,0 year,0 year,0 year
1339,20-29,Male,Single,Yes,Travel Rarely,Very Close,Research & Development,Below College,Life Sciences,Very High,High,Lvl 1,Research Scientist,Medium,75,391,2472,26092,1,Yes,23,Outstanding,Low,80,Lvl 0,0-10 years,2 years,Better,0-10 years,0 year,0 year,0 year
1340,30-39,Female,Married,No,Travel Rarely,Very Close,Sales,Master,Technical Degree,Medium,Medium,Lvl 2,Sales Executive,High,63,1266,5673,6060,1,Yes,13,Excellent,Low,80,Lvl 1,11-20 years,4 years,Better,11-20 years,9 years,1 years,7 years
1341,30-39,Male,Divorced,No,Travel Rarely,Far,Research & Development,Bachelor,Life Sciences,Medium,High,Lvl 2,Laboratory Technician,High,89,311,4197,18624,1,No,11,Excellent,Low,80,Lvl 1,11-20 years,2 years,Better,11-20 years,8 years,0 year,2 years
1342,30-39,Male,Married,No,Travel Rarely,Very Close,Sales,Bachelor,Life Sciences,High,High,Lvl 3,Sales Executive,Very High,64,1480,9713,24444,2,Yes,13,Excellent,Very High,80,Lvl 3,0-10 years,3 years,Better,0-10 years,3 years,1 years,0 year
1343,20-29,Male,Single,No,Travel Rarely,Very Close,Research & Development,Bachelor,Life Sciences,Very High,High,Lvl 1,Laboratory Technician,Low,59,592,2062,19384,3,No,14,Excellent,Medium,80,Lvl 0,11-20 years,2 years,Better,0-10 years,2 years,1 years,2 years
1344,30-39,Male,Married,No,Travel Rarely,Very Close,Research & Development,Master,Medical,Very High,High,Lvl 2,Research Scientist,Low,78,783,4284,13588,5,Yes,22,Outstanding,High,80,Lvl 1,11-20 years,2 years,Better,0-10 years,3 years,0 year,4 years
1345,30-39,Female,Married,No,Travel Rarely,Close,Research & Development,College,Other,Very High,Medium,Lvl 2,Manufacturing Director,Medium,44,219,4788,25388,0,Yes,11,Excellent,Very High,80,Lvl 0,0-10 years,2 years,Better,0-10 years,2 years,0 year,2 years
1346,40-49,Female,Married,No,Travel Rarely,Far,Research & Development,College,Life Sciences,Medium,Medium,Lvl 2,Manufacturing Director,Very High,93,556,5906,23888,0,No,13,Excellent,Very High,80,Lvl 2,11-20 years,2 years,Good,0-10 years,8 years,3 years,8 years
1347,30-39,Male,Single,No,Travel Frequently,Very Close,Human Resources,Below College,Human Resources,Medium,Medium,Lvl 2,Human Resources,Very High,94,1213,3886,4223,1,No,21,Outstanding,Very High,80,Lvl 0,11-20 years,2 years,Good,11-20 years,1 years,0 year,8 years
1348,40-49,Male,Divorced,No,Travel Rarely,Very Close,Research & Development,Master,Life Sciences,Low,High,Lvl 4,Manager,Low,98,1137,16823,18991,2,No,11,Excellent,Low,80,Lvl 1,21-29 years,3 years,Better,11-20 years,7 years,11 years,16 years
1349,20-29,Female,Married,No,Travel Rarely,Very Close,Research & Development,College,Life Sciences,Medium,Medium,Lvl 1,Research Scientist,High,90,482,2933,14908,1,Yes,13,Excellent,High,80,Lvl 1,0-10 years,3 years,Good,0-10 years,0 year,1 years,0 year
1350,20-29,Female,Single,No,Travel Rarely,Very Close,Sales,College,Medical,Low,Very High,Lvl 2,Sales Executive,High,89,511,6500,26997,0,No,14,Excellent,Medium,80,Lvl 0,0-10 years,5 years,Good,0-10 years,7 years,0 year,7 years
1351,40-49,Female,Divorced,No,Travel Frequently,Far,Research & Development,Bachelor,Medical,Very High,High,Lvl 4,Manager,Very High,58,117,17174,2437,3,No,11,Excellent,Medium,80,Lvl 1,21-29 years,3 years,Better,21-29 years,17 years,4 years,7 years
1352,40-49,Male,Married,No,Travel Rarely,Very Close,Research & Development,Master,Life Sciences,Medium,Very High,Lvl 2,Healthcare Representative,Low,78,170,5033,9364,2,No,15,Excellent,Very High,80,Lvl 1,11-20 years,5 years,Better,0-10 years,0 year,2 years,2 years
1353,30-39,Male,Married,Yes,Non Travel,Close,Research & Development,Master,Technical Degree,Very High,Low,Lvl 1,Research Scientist,Low,85,967,2307,14460,1,Yes,23,Outstanding,Medium,80,Lvl 1,0-10 years,2 years,Better,0-10 years,2 years,3 years,0 year
1354,50-59,Male,Single,Yes,Travel Rarely,Far,Research & Development,College,Life Sciences,Low,High,Lvl 1,Laboratory Technician,Very High,97,1162,2587,10261,1,No,16,Excellent,Very High,80,Lvl 0,0-10 years,3 years,Better,0-10 years,2 years,1 years,0 year
1355,30-39,Male,Married,No,Travel Rarely,Close,Sales,College,Marketing,High,Medium,Lvl 2,Sales Executive,Medium,33,335,5507,16822,2,No,16,Excellent,High,80,Lvl 2,11-20 years,1 years,Bad,0-10 years,2 years,1 years,3 years
1356,40-49,Female,Married,No,Travel Rarely,Very Close,Sales,Bachelor,Marketing,High,High,Lvl 2,Sales Executive,Medium,54,337,4393,26841,5,No,21,Outstanding,High,80,Lvl 1,11-20 years,3 years,Better,0-10 years,4 years,1 years,4 years
1357,40-49,Male,Married,No,Travel Rarely,Very Close,Research & Development,Bachelor,Medical,High,High,Lvl 3,Research Director,Low,83,1396,13348,14842,9,No,13,Excellent,Medium,80,Lvl 1,11-20 years,3 years,Best,11-20 years,7 years,5 years,7 years
1358,30-39,Female,Divorced,No,Travel Rarely,Very Close,Sales,College,Medical,High,High,Lvl 2,Sales Executive,Very High,86,1079,6583,20115,2,Yes,11,Excellent,Very High,80,Lvl 1,0-10 years,2 years,Better,0-10 years,2 years,1 years,4 years
1359,30-39,Female,Married,No,Travel Rarely,Very Close,Sales,Below College,Medical,Very High,Medium,Lvl 2,Sales Executive,Very High,75,735,8103,16495,3,Yes,12,Excellent,High,80,Lvl 0,0-10 years,3 years,Good,0-10 years,2 years,0 year,1 years
